task,category,difficulty,agent,model,effort,passed,duration_seconds,agent_termination,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,prompt_tokens,total_tokens,cost_usd,list_cost_usd,files_changed,insertions,deletions,face_value,points,graders,grader_summaries,run_id
activitykit-001,frameworks,7,opencode,anthropic/claude-haiku-4-5-20251001,max,false,261.3,completed,178,3421,191975,37521,229674,4956,0.0902,0.0365,2,50,1,133,,build=P;xcodeproj=F;xctest=P;file=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Activitykit001Fixture' | xcodeproj:1 of 1 project assertion(s) failed: Info.plist key NSSupportsLiveActivities is not set | xctest:3 executed, 3 passed, 0 failed, 0 skipped | file:1 file assertion(s) satisfied | trajectory:The agent's recorded commands show the work behind the deliverable (4 command(s))",2026-09-19T105507-activitykit-001-opencode
appintents-001,frameworks,2,opencode,anthropic/claude-haiku-4-5-20251001,max,true,71.6,completed,61,847,34049,9853,43963,1374,0.0223,0.0077,1,1,0,100,100,build=P;xctest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'AppIntentFixture' | xctest:1 executed, 1 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (1 command(s))",2026-09-19T062635-appintents-001-opencode
appintents-002,frameworks,5,opencode,anthropic/claude-haiku-4-5-20251001,max,true,80.2,completed,112,1750,78725,12543,91380,2687,0.0365,0.0167,1,1,1,114,114,build=P;xctest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Appintents002Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (2 command(s))",2026-09-19T105929-appintents-002-opencode
appintents-003,frameworks,5,opencode,anthropic/claude-haiku-4-5-20251001,max,true,116.8,completed,70,1062,48566,11431,60067,1962,0.0287,0.0102,1,1,1,100,100,build=P;xctest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Appintents003Fixture' | xctest:4 executed, 4 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (0 command(s))",2026-09-19T110050-appintents-003-opencode
appintents-004,frameworks,6,opencode,anthropic/claude-haiku-4-5-20251001,max,true,67.3,completed,96,1034,63654,10732,74482,1971,0.0293,0.0116,1,1,3,100,100,build=P;xctest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Appintents004Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (0 command(s))",2026-09-19T110248-appintents-004-opencode
bg-001,frameworks,6,opencode,anthropic/claude-haiku-4-5-20251001,max,false,169.2,completed,275,7860,294219,26336,320830,10107,0.1118,0.0690,3,48,0,133,,build=F;xctest=F;trajectory=P,"build:xcodebuild build failed (exit 65) for scheme 'Bg001Fixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped. Tests failed to compile: Bg001FixtureApp.swift: escaping closure captures mutating 'self' parameter | trajectory:The agent's recorded commands show the work behind the deliverable (6 command(s))",2026-09-19T110356-bg-001-opencode
bg-002,frameworks,6,opencode,anthropic/claude-haiku-4-5-20251001,max,false,124.2,completed,111,3497,86061,14234,100406,4679,0.0493,0.0262,2,112,1,133,,build=F;xctest=F;trajectory=P,"build:xcodebuild build failed (exit 65) for scheme 'Bg002Fixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped. Tests failed to compile: BackgroundDownloader.swift: static property 'urlSession' is not concurrency-safe because it is nonisolated global shared mutable state [#MutableGlobalVariable] | trajectory:The agent's recorded commands show the work behind the deliverable (0 command(s))",2026-09-19T110646-bg-002-opencode
build-005,build,5,opencode,anthropic/claude-haiku-4-5-20251001,max,true,107.8,completed,176,2294,249798,38251,288225,3617,0.0902,0.0366,1,1,2,100,100,build=P;file=P;trajectory=P,build:xcodebuild build succeeded for scheme 'LinkErrorFixture' | file:1 file assertion(s) satisfied | trajectory:The agent's recorded commands show the work behind the deliverable (3 command(s)),2026-09-19T062747-build-005-opencode
composition-001,composition,9,opencode,anthropic/claude-haiku-4-5-20251001,max,false,451.8,completed,542,31126,2016487,81982,2099011,34839,0.4762,0.3578,6,497,27,800,,build=P;xctest=F;xcuitest=F;trajectory=P,"build:xcodebuild build succeeded for scheme 'FieldInspectionFixture' | xctest:8 executed, 6 passed, 2 failed, 0 skipped. Failing: InspectionWorkflowTests/testCompletedInspectionContainsSavedValuesAndPhotoEvidenceInPDF(), InspectionWorkflowTests/testLongReportIncludesTheLastNoteAndEveryEvidenceCaption() | xcuitest:4 executed, 1 passed, 3 failed, 0 skipped. Failing: InspectionFlowTests/testCanCreateAndResumeAnInspection(), InspectionFlowTests/testCanDeleteAnInspectionFromItsDetailScreen(), InspectionFlowTests/testCompletedInspectionImportsSampleEvidenceAndExportsReport() | trajectory:The agent's recorded commands show the work behind the deliverable (20 command(s))",2026-09-19T132710-composition-001-opencode
composition-002,composition,9,opencode,anthropic/claude-haiku-4-5-20251001,max,false,451.0,completed,575,17512,1729954,62136,1792665,23238,0.3646,0.2611,3,271,16,2000,,build=P;xctest=F;xcuitest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'ExpenseLedgerFixture' | xctest:7 executed, 4 passed, 3 failed, 0 skipped. Failing: ExpenseLedgerJourneysTests/testEditorRejectsFractionalCentsWithoutChangingSavedRecords(), ExpenseLedgerJourneysTests/testImportReviewAcceptsQuotedDataAndReimportDoesNotDuplicateRecords(), ExpenseLedgerJourneysTests/testMalformedCSVAndInvalidEuroValuesCannotEnterTheLedger() | xcuitest:5 executed, 5 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (14 command(s))",2026-09-19T133446-composition-002-opencode
composition-003,composition,9,opencode,anthropic/claude-haiku-4-5-20251001,max,false,461.6,completed,797,24834,2432823,69485,2503105,33520,0.4946,0.3682,3,162,20,2000,,build=P;xctest=F;xcuitest=F;trajectory=P,"build:xcodebuild build succeeded for scheme 'TripPlannerFixture' | xctest:8 executed, 6 passed, 2 failed, 0 skipped. Failing: TripPlannerStoreTests/testOrderingAndFavoritesSurviveReopeningTheDiskStore(), TripPlannerStoreTests/testReorderAndRemovalPreserveTheOtherStopsAndChooseTheNextSelection() | xcuitest:5 executed, 3 passed, 2 failed, 0 skipped. Failing: TripPlannerJourneyTests/testSeededTripCanBeOpenedAndViewedOnTheMap(), TripPlannerJourneyTests/testWarmAndColdLinksOpenTheCorrectTripAndUnknownLinksRecover() | trajectory:The agent's recorded commands show the work behind the deliverable (10 command(s))",2026-09-19T134222-composition-003-opencode
