task,category,difficulty,agent,model,passed,duration_seconds,agent_termination,input_tokens,output_tokens,total_tokens,cost_usd,files_changed,insertions,deletions,face_value,efficiency,points,graders,grader_summaries,run_id
activitykit-001,frameworks,7,opencode,minimax/MiniMax-M3,true,398.8,completed,35239,34668,69907,0.1873,5,229,1,70,0.72,50.1,build=P;xcodeproj=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Activitykit001Fixture' | xcodeproj:1 project assertion(s) hold in the resolved configuration | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T103557-activitykit-001-opencode
appintents-001,frameworks,2,opencode,minimax/MiniMax-M3,true,35.8,completed,6046,502,6548,0.0052,1,1,0,20,1.00,20.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'AppIntentFixture' | xctest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-01T155713-appintents-001-opencode
appintents-002,frameworks,5,opencode,minimax/MiniMax-M3,true,43.1,completed,17459,1316,18775,0.0107,1,4,3,50,1.00,50.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Appintents002Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T104236-appintents-002-opencode
appintents-003,frameworks,5,opencode,minimax/MiniMax-M3,true,36.6,completed,13474,983,14457,0.0091,1,1,1,50,1.00,50.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Appintents003Fixture' | xctest:4 executed, 4 passed, 0 failed, 0 skipped",2026-09-02T104320-appintents-003-opencode
appintents-004,frameworks,6,opencode,minimax/MiniMax-M3,true,43.5,completed,9789,878,10667,0.0078,1,1,4,60,1.00,60.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Appintents004Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-02T104357-appintents-004-opencode
bg-001,frameworks,6,opencode,minimax/MiniMax-M3,true,29.5,completed,12764,523,13287,0.0065,1,1,0,60,1.00,60.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Bg001Fixture' | xctest:4 executed, 4 passed, 0 failed, 0 skipped",2026-09-02T104442-bg-001-opencode
bg-002,frameworks,6,opencode,minimax/MiniMax-M3,true,51.5,completed,11754,1112,12866,0.0088,1,1,1,60,1.00,60.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Bg002Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T104512-bg-002-opencode
build-002,build,2,opencode,minimax/MiniMax-M3,true,53.4,completed,17493,2732,20225,0.0138,1,4,2,20,1.00,20.0,build=P;xcodeproj=P,build:xcodebuild build succeeded for scheme 'AvailabilityFixture' | xcodeproj:1 project assertion(s) hold in the resolved configuration,2026-09-01T155338-build-002-opencode
build-005,build,5,opencode,minimax/MiniMax-M3,false,69.5,completed,33970,3355,37325,0.0252,2,2,2,50,1.00,0.0,build=P;file=F,build:xcodebuild build succeeded for scheme 'LinkErrorFixture' | file:Packages/Integrity/Sources/CIntegrity/include/cintegrity.h: expected diff to exclude this path,2026-09-01T155750-build-005-opencode
concurrency-001,frameworks,5,opencode,minimax/MiniMax-M3,true,27.9,completed,6615,817,7432,0.0063,1,2,4,50,1.00,50.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Concurrency001Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-02T104604-concurrency-001-opencode
concurrency-002,frameworks,6,opencode,minimax/MiniMax-M3,true,30.2,completed,7243,905,8148,0.0057,1,4,3,60,1.00,60.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Concurrency002Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T104633-concurrency-002-opencode
concurrency-003,frameworks,7,opencode,minimax/MiniMax-M3,false,86.7,completed,11119,3222,14341,0.0112,1,1,1,70,1.00,0.0,build=P;xctest=F,"build:xcodebuild build succeeded for scheme 'Concurrency003Fixture' | xctest:3 executed, 2 passed, 1 failed, 0 skipped — failing: TelemetryFeedTests/testABacklogDoesNotGrowWithoutLimit()",2026-09-02T104710-concurrency-003-opencode
concurrency-004,frameworks,6,opencode,minimax/MiniMax-M3,false,44.8,completed,18640,2338,20978,0.0123,1,4,7,60,1.00,0.0,build=P;xctest=F,"build:xcodebuild build succeeded for scheme 'Concurrency004Fixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed",2026-09-02T104837-concurrency-004-opencode
concurrency-005,frameworks,5,opencode,minimax/MiniMax-M3,true,124.9,completed,23941,1355,25296,0.0123,1,5,5,50,1.00,50.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Concurrency005Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T104923-concurrency-005-opencode
concurrency-006,frameworks,4,opencode,minimax/MiniMax-M3,true,78.4,completed,26211,6799,33010,0.0247,1,5,1,40,1.00,40.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Concurrency006Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-02T105128-concurrency-006-opencode
concurrency-007,frameworks,7,opencode,minimax/MiniMax-M3,true,30.9,completed,6359,549,6908,0.0050,1,1,2,70,1.00,70.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Concurrency007Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-02T105248-concurrency-007-opencode
concurrency-008,frameworks,3,opencode,minimax/MiniMax-M3,false,96.3,completed,9483,3923,13406,0.0150,1,5,2,30,1.00,0.0,build=P;xctest=F;runtime=P,"build:xcodebuild build succeeded for scheme 'ConcurrencyCancellationFixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed | runtime:Process survived 5s observation window",2026-09-02T105319-concurrency-008-opencode
coredata-001,frameworks,3,opencode,minimax/MiniMax-M3,true,38.7,completed,7270,596,7866,0.0059,1,1,1,30,1.00,30.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'CoreDataNotesFixture' | xctest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-01T155900-coredata-001-opencode
coredata-002,frameworks,5,opencode,minimax/MiniMax-M3,true,38.9,completed,7340,838,8178,0.0061,1,1,0,50,1.00,50.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'CoreDataSaveFixture' | xctest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-01T155940-coredata-002-opencode
coredata-003,frameworks,8,opencode,minimax/MiniMax-M3,true,908.8,completed,341716,51051,392767,0.5018,1,46,4,80,0.25,20.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Coredata003Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-02T105500-coredata-003-opencode
coredata-004,frameworks,7,opencode,minimax/MiniMax-M3,true,79.9,completed,18423,1841,20264,0.0163,1,1,0,70,1.00,70.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Coredata004Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-02T111010-coredata-004-opencode
coredata-005,frameworks,6,opencode,minimax/MiniMax-M3,true,117.1,completed,84725,4849,89574,0.0398,2,92,2,60,0.56,33.5,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Coredata005Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-02T111130-coredata-005-opencode
coredata-006,frameworks,7,opencode,minimax/MiniMax-M3,true,30.8,completed,7171,1067,8238,0.0063,1,1,1,70,1.00,70.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Coredata006Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-02T111328-coredata-006-opencode
coredata-007,frameworks,3,opencode,minimax/MiniMax-M3,false,31.2,completed,8129,730,8859,0.0056,1,2,1,30,1.00,0.0,build=F;xctest=F,"build:xcodebuild build failed (exit 65) for scheme 'Coredata007Fixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed",2026-09-02T111400-coredata-007-opencode
coredata-008,frameworks,5,opencode,minimax/MiniMax-M3,true,34.8,completed,7715,735,8450,0.0050,1,1,1,50,1.00,50.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Coredata008Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T111431-coredata-008-opencode
coredata-009,frameworks,5,opencode,minimax/MiniMax-M3,true,64.6,completed,8865,649,9514,0.0063,1,1,1,50,1.00,50.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Coredata009Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-02T111507-coredata-009-opencode
coredata-010,frameworks,6,opencode,minimax/MiniMax-M3,false,67.6,completed,10926,2692,13618,0.0101,1,12,0,60,1.00,0.0,build=F;xctest=F,"build:xcodebuild build failed (exit 65) for scheme 'Coredata010Fixture' | xctest:0 executed, 0 passed, 0 failed, 0 skipped — no tests executed",2026-09-02T111612-coredata-010-opencode
healthkit-001,frameworks,6,opencode,minimax/MiniMax-M3,false,220.4,completed,39524,17267,56791,0.0671,3,51,3,60,0.88,0.0,build=P;xcodeproj=F;xctest=P,"build:xcodebuild build succeeded for scheme 'Healthkit001Fixture' | xcodeproj:1 of 2 project assertion(s) failed — Info.plist key NSHealthUpdateUsageDescription is not set | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T111721-healthkit-001-opencode
interaction-001,interaction,1,opencode,minimax/MiniMax-M3,true,94.8,completed,8358,1255,9613,0.0087,2,2,2,10,1.00,10.0,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'CartFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-01T160020-interaction-001-opencode
interaction-002,interaction,2,opencode,minimax/MiniMax-M3,true,94.2,completed,24106,490,24596,0.0087,1,1,1,20,1.00,20.0,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'SearchFixture' | xcuitest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-01T160158-interaction-002-opencode
interaction-003,interaction,3,opencode,minimax/MiniMax-M3,true,79.2,completed,7853,960,8813,0.0055,1,1,0,30,1.00,30.0,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'RefreshFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-01T160337-interaction-003-opencode
interaction-004,interaction,4,opencode,minimax/MiniMax-M3,true,148.6,completed,7642,3102,10744,0.0113,1,4,14,40,1.00,40.0,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'FormFlowFixture' | xcuitest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-01T160502-interaction-004-opencode
interaction-005,interaction,5,opencode,minimax/MiniMax-M3,false,1859.4,timeout,,,,,4,685,1,50,0.25,0.0,build=P;file=F,build:xcodebuild build succeeded for scheme 'GestureFixture' | file:gesture-log.txt: expected to exist; gesture-log.txt: unreadable or missing; gesture-log.txt: unreadable or missing; gesture-log.txt: unreadable or missing; gesture-log.txt: unreadable or missing; gesture-log.txt: unreadable or missing; gesture-log.txt: unreadable or missing; gesture-log.txt: unreadable or missing,2026-09-01T160735-interaction-005-opencode
mapkit-001,frameworks,4,opencode,minimax/MiniMax-M3,true,49.7,completed,12327,1579,13906,0.0093,1,5,2,40,1.00,40.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Mapkit001Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T112102-mapkit-001-opencode
networking-001,frameworks,4,opencode,minimax/MiniMax-M3,true,82.8,completed,16118,2346,18464,0.0142,1,6,1,40,1.00,40.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Networking001Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T112152-networking-001-opencode
networking-002,frameworks,3,opencode,minimax/MiniMax-M3,true,35.4,completed,7254,462,7716,0.0050,1,1,1,30,1.00,30.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Networking002Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T112316-networking-002-opencode
networking-003,frameworks,6,opencode,minimax/MiniMax-M3,true,43.5,completed,6771,1211,7982,0.0065,1,3,0,60,1.00,60.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Networking003Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T112352-networking-003-opencode
