task,category,difficulty,agent,model,effort,passed,duration_seconds,agent_termination,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,prompt_tokens,total_tokens,cost_usd,list_cost_usd,files_changed,insertions,deletions,face_value,efficiency,points,graders,grader_summaries,run_id
activitykit-001,frameworks,7,opencode,minimax/MiniMax-M2.7,,false,339.9,completed,31767,21454,,,31767,53221,0.1224,0.0353,5,230,18,70,0.94,0.0,build=P;xcodeproj=P;xctest=F,"build:xcodebuild build succeeded for scheme 'Activitykit001Fixture' | xcodeproj:1 project assertion(s) hold in the resolved configuration | xctest:2 executed, 1 passed, 1 failed, 0 skipped — failing: DeliveryActivityTests/testStartingWorksWhenLiveActivitiesAreEnabled()",2026-09-02T162133-activitykit-001-opencode
activitykit-001,frameworks,7,opencode,minimax/MiniMax-M3,,true,398.8,completed,35239,34668,,,35239,69907,0.1873,0.0522,5,229,1,70,0.72,50.1,build=P;xcodeproj=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Activitykit001Fixture' | xcodeproj:1 project assertion(s) hold in the resolved configuration | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T103557-activitykit-001-opencode
appintents-001,frameworks,2,opencode,minimax/MiniMax-M3,,true,46.8,completed,29110,520,,,29110,29630,0.0109,0.0094,1,1,0,20,1.00,20.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'AppIntentFixture' | xctest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-02T041452-appintents-001-opencode
appintents-001,frameworks,2,opencode,minimax/MiniMax-M2.7,,true,55.5,completed,410,603,,,410,1013,0.0054,0.0008,1,1,0,20,1.00,20.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'AppIntentFixture' | xctest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-02T120747-appintents-001-opencode
appintents-001,frameworks,2,opencode,minimax/MiniMax-M3,,true,35.8,completed,6046,502,,,6046,6548,0.0052,0.0024,1,1,0,20,1.00,20.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'AppIntentFixture' | xctest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-01T155713-appintents-001-opencode
appintents-001,frameworks,2,opencode,minimax/MiniMax-M3,,true,35.6,completed,7614,509,,,7614,8123,0.0056,0.0029,1,1,0,20,1.00,20.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'AppIntentFixture' | xctest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-01T165842-appintents-001-opencode
appintents-001,frameworks,2,opencode,zhipuai/glm-5.2,,false,34.4,failed,,,,,,,,,0,0,0,20,0.25,0.0,build=P;xctest=F,"build:xcodebuild build succeeded for scheme 'AppIntentFixture' | xctest:1 executed, 0 passed, 1 failed, 0 skipped — failing: LogStatusIntentTests/testPerformRecordsTheStatus()",2026-09-03T165539-appintents-001-opencode
appintents-002,frameworks,5,opencode,minimax/MiniMax-M2.7,,true,179.5,completed,943,763,,,943,1706,0.0045,0.0012,1,1,1,50,1.00,50.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Appintents002Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T162714-appintents-002-opencode
appintents-002,frameworks,5,opencode,minimax/MiniMax-M3,,true,43.1,completed,17459,1316,,,17459,18775,0.0107,0.0068,1,4,3,50,1.00,50.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Appintents002Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-02T104236-appintents-002-opencode
appintents-003,frameworks,5,opencode,minimax/MiniMax-M2.7,,true,101.1,completed,749,753,,,749,1502,0.0044,0.0011,1,1,1,50,1.00,50.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Appintents003Fixture' | xctest:4 executed, 4 passed, 0 failed, 0 skipped",2026-09-02T163014-appintents-003-opencode
appintents-003,frameworks,5,opencode,minimax/MiniMax-M3,,true,36.6,completed,13474,983,,,13474,14457,0.0091,0.0052,1,1,1,50,1.00,50.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Appintents003Fixture' | xctest:4 executed, 4 passed, 0 failed, 0 skipped",2026-09-02T104320-appintents-003-opencode
appintents-004,frameworks,6,opencode,minimax/MiniMax-M2.7,,true,52.4,completed,453,686,,,453,1139,0.0040,0.0010,1,1,3,60,1.00,60.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Appintents004Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-02T163156-appintents-004-opencode
appintents-004,frameworks,6,opencode,minimax/MiniMax-M3,,true,43.5,completed,9789,878,,,9789,10667,0.0078,0.0040,1,1,4,60,1.00,60.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Appintents004Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-02T104357-appintents-004-opencode
bg-001,frameworks,6,opencode,minimax/MiniMax-M3,,true,29.5,completed,12764,523,,,12764,13287,0.0065,0.0045,1,1,0,60,1.00,60.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Bg001Fixture' | xctest:4 executed, 4 passed, 0 failed, 0 skipped",2026-09-02T104442-bg-001-opencode
bg-001,frameworks,6,opencode,minimax/MiniMax-M2.7,,true,62.9,completed,703,976,,,703,1679,0.0059,0.0014,1,1,0,60,1.00,60.0,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Bg001Fixture' | xctest:4 executed, 4 passed, 0 failed, 0 skipped",2026-09-02T163249-bg-001-opencode
