task,category,difficulty,agent,model,effort,passed,duration_seconds,agent_termination,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,prompt_tokens,total_tokens,cost_usd,list_cost_usd,files_changed,insertions,deletions,face_value,points,graders,grader_summaries,run_id
activitykit-001,frameworks,7,opencode,minimax/MiniMax-M3,max,true,191.3,completed,42956,12030,639933,0,682889,60894,0.0728,0.0657,5,256,12,133,133,build=P;xcodeproj=P;xctest=P;file=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Activitykit001Fixture' | xcodeproj:1 project assertion(s) hold in the resolved configuration | xctest:3 executed, 3 passed, 0 failed, 0 skipped | file:1 file assertion(s) satisfied | trajectory:The agent's recorded commands show the work behind the deliverable (11 command(s))",2026-09-15T214536-activitykit-001-opencode
appintents-001,frameworks,2,opencode,minimax/MiniMax-M3,,true,26.6,completed,7577,509,45440,0,53017,8086,0.0056,0.0056,1,1,0,100,100,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'AppIntentFixture' | xctest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-06T212623-appintents-001-opencode
appintents-002,frameworks,5,opencode,minimax/MiniMax-M3,,true,28.5,completed,8025,599,37632,0,45657,8624,0.0054,0.0054,1,1,1,114,114,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Appintents002Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-07T052707-appintents-002-opencode
appintents-003,frameworks,5,opencode,minimax/MiniMax-M3,,true,30.1,completed,12909,576,59981,0,72890,13782,0.0085,0.0082,1,1,1,100,100,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Appintents003Fixture' | xctest:4 executed, 4 passed, 0 failed, 0 skipped",2026-09-07T052736-appintents-003-opencode
appintents-004,frameworks,6,opencode,minimax/MiniMax-M3,,true,23.3,completed,6478,396,39983,0,46461,6981,0.0049,0.0048,1,1,4,100,100,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Appintents004Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-07T052807-appintents-004-opencode
bg-001,frameworks,6,opencode,minimax/MiniMax-M3,,true,217.7,completed,10366,553,66710,0,77076,11770,0.0088,0.0078,1,1,0,133,133,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Bg001Fixture' | xctest:4 executed, 4 passed, 0 failed, 0 skipped",2026-09-07T052832-bg-001-opencode
bg-002,frameworks,6,opencode,minimax/MiniMax-M3,,true,45.1,completed,13554,687,77224,0,90778,15135,0.0106,0.0095,1,1,1,133,133,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Bg002Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-07T053210-bg-002-opencode
build-005,build,5,opencode,minimax/MiniMax-M3,,true,59.7,completed,34959,1638,157568,0,192527,36597,0.0219,0.0219,1,1,2,100,100,build=P,build:xcodebuild build succeeded for scheme 'LinkErrorFixture',2026-09-11T210356-build-005-opencode
composition-001,composition,9,opencode,minimax/MiniMax-M3,max,false,425.3,completed,55876,14905,1944603,0,2000479,80853,0.1634,0.1513,6,655,31,800,,build=P;xctest=F;xcuitest=F;trajectory=P,"build:xcodebuild build succeeded for scheme 'FieldInspectionFixture' | xctest:8 executed, 6 passed, 2 failed, 0 skipped. Failing: InspectionWorkflowTests/testLongReportIncludesTheLastNoteAndEveryEvidenceCaption(), InspectionWorkflowTests/testSavingAnEditReplacesTheExistingDraftAndPreservesItWhenInvalidInputIsRejected() | xcuitest:4 executed, 2 passed, 2 failed, 0 skipped. Failing: InspectionFlowTests/testCanDeleteAnInspectionFromItsDetailScreen(), InspectionFlowTests/testCompletedInspectionImportsSampleEvidenceAndExportsReport() | trajectory:The agent's recorded commands show the work behind the deliverable (34 command(s))",2026-09-15T214849-composition-001-opencode
composition-002,composition,9,opencode,minimax/MiniMax-M3,max,false,496.7,completed,131082,32421,1258633,0,1389715,163503,0.1537,0.1537,4,474,52,2000,,build=P;xctest=F;xcuitest=F;trajectory=P,"build:xcodebuild build succeeded for scheme 'ExpenseLedgerFixture' | xctest:7 executed, 3 passed, 4 failed, 0 skipped. Failing: ExpenseLedgerJourneysTests/testEditDeleteAndPersistenceKeepExactEuroValues(), ExpenseLedgerJourneysTests/testFailedSavePreservesPublishedLedgerAndImportCanBeRetried(), ExpenseLedgerJourneysTests/testImportReviewAcceptsQuotedDataAndReimportDoesNotDuplicateRecords(), ExpenseLedgerJourneysTests/testMalformedCSVAndInvalidEuroValuesCannotEnterTheLedger() | xcuitest:5 executed, 3 passed, 2 failed, 0 skipped. Failing: ExpenseLedgerScreenTests/testDeletingEveryExpenseKeepsTheLedgerEmptyAfterRelaunch(), ExpenseLedgerScreenTests/testMonthAndCategoryControlsFilterTheVisibleLedger() | trajectory:The agent's recorded commands show the work behind the deliverable (7 command(s))",2026-09-16T212806-composition-002-opencode
